鉄道事業者名,鉄道駅の名称,路線名,単位,都道府県,市,町村,段差への対応,プラットホームの数,段差が解消されているプラットホームの数,エレベーターの設置基数,単位,移動等円滑化基準に適合しているエレベーターの設置基数,単位,エスカレーターの設置基数,単位,移動等円滑化基準に適合しているエスカレーターの設置基数,単位,その他の昇降機の設置基数,単位,傾斜路の設置箇所数,単位,移動等円滑化基準に適合している傾斜路の設置箇所数,単位,視覚障害者誘導用ブロックの設置の有無,案内設備の設置の有無,障害者対応型便所の設置の有無,障害者対応型改札口の設置の有無,障害者対応型券売機の設置の有無,車いす使用者の円滑な乗降が可能なプラットホームの数,転落防止のための設備の設置の有無,緯度,経度,場所情報コード
北海道旅客鉄道,函館,函館,線,北海道,函館市,-,○,4,4,-,基,-,基,-,基,-,基,-,基,1,箇所,1,箇所,○,○,○,○,○,4,○,41.77398,140.72649,00001B00000000030B793BA6A6D4FFC0
北海道旅客鉄道,小樽,函館,線,北海道,小樽市,-,-,2,2,-,基,-,基,4,基,4,基,-,基,1,箇所,1,箇所,○,○,○,○,○,2,○,43.19712,140.99368,00001B00000000030BDD4C26B99E7FC0
北海道旅客鉄道,南小樽,函館,線,北海道,小樽市,-,-,1,1,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,○,○,1,○,43.18653,141.00789,00001B00000000030BDC8DA6BA9E7FC0
北海道旅客鉄道,小樽築港,函館,線,北海道,小樽市,-,○,1,1,1,基,1,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,1,○,43.18085,141.02783,00001B00000000030BDC2726BC04FFC0
北海道旅客鉄道,銭函,函館,線,北海道,小樽市,-,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,○,○,2,-,43.14341,141.15992,00001B00000000030BD98526C54EFFC0
北海道旅客鉄道,星置,函館,線,北海道,札幌市,手稲区,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.13228,141.21065,00001B00000000030BD8BD26C8DFFFC0
北海道旅客鉄道,手稲,函館,線,北海道,札幌市,手稲区,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.12013,141.24385,00001B00000000030BD7E226CB357FC0
北海道旅客鉄道,稲積公園,函館,線,北海道,札幌市,手稲区,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.11231,141.25676,00001B00000000030BD755A6CC1DFFC0
北海道旅客鉄道,発寒,函館,線,北海道,札幌市,西区,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.10019,141.27663,00001B00000000030BD67B26CD837FC0
北海道旅客鉄道,発寒中央,函館,線,北海道,札幌市,西区,○,2,2,3,基,3,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.08926,141.29458,00001B00000000030BD5B6A6CEC67FC0
北海道旅客鉄道,琴似,函館,線,北海道,札幌市,西区,○,1,1,2,基,2,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,1,○,43.08151,141.3074,00001B00000000030BD52B26CFAD7FC0
北海道旅客鉄道,桑園,函館・札沼,線,北海道,札幌市,中央区,○,2,2,2,基,2,基,4,基,-,基,-,基,1,箇所,-,箇所,○,○,○,○,○,2,○,43.07075,141.33192,00001B00000000030BD469A6D166FFC0
北海道旅客鉄道,札幌,函館,線,北海道,札幌市,中央区,○,5,5,5,基,5,基,12,基,-,基,-,基,1,箇所,1,箇所,○,○,○,○,○,5,○,43.06857,141.3508,00001B00000000030BD44226D2BA7FC0
北海道旅客鉄道,苗穂,函館,線,北海道,札幌市,中央区,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,○,○,2,○,43.06877,141.37641,00001B00000000030BD445A6D4877FC0
北海道旅客鉄道,白石,函館・千歳,線,北海道,札幌市,白石区,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.05476,141.41407,00001B00000000030BD349A6D72D7FC0
北海道旅客鉄道,厚別,函館,線,北海道,札幌市,厚別区,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.04498,141.46324,00001B00000000030BD299A6DAA27FC0
北海道旅客鉄道,森林公園,函館,線,北海道,札幌市,厚別区,○,2,2,2,基,2,基,-,基,-,基,-,基,1,箇所,-,箇所,○,○,○,○,○,2,○,43.05644,141.48153,00001B00000000030BD367A6DBEBFFC0
北海道旅客鉄道,大麻,函館,線,北海道,江別市,-,○,2,2,-,基,-,基,4,基,4,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.07223,141.49672,00001B00000000030BD48426DCFCFFC0
北海道旅客鉄道,野幌,函館,線,北海道,江別市,-,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.09262,141.52981,00001B00000000030BD5F326DF50FFC0
北海道旅客鉄道,高砂,函館,線,北海道,江別市,-,○,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.10016,141.5407,00001B00000000030BD67AA6E014FFC0
北海道旅客鉄道,江別,函館,線,北海道,江別市,-,○,2,2,2,基,2,基,-,基,-,基,-,基,2,箇所,-,箇所,○,○,○,○,○,2,○,43.11014,141.55658,00001B00000000030BD72EA6E1327FC0
北海道旅客鉄道,岩見沢,函館・室蘭,線,北海道,岩見沢市,-,○,3,3,4,基,4,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,3,○,43.20411,141.75924,00001B00000000030BDDC9A6EF727FC0
北海道旅客鉄道,滝川,函館・根室,線,北海道,滝川市,-,○,3,3,3,基,3,基,-,基,-,基,-,基,2,箇所,2,箇所,○,○,○,○,○,3,○,43.55521,141.90079,00001B00000000030BF679A6F9667FC0
北海道旅客鉄道,旭川,函館・宗谷・富良野,線,北海道,旭川市,-,○,4,4,6,基,6,基,12,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,4,○,43.76344,142.35792,00001B00000000030C051DA7198AFFC0
北海道旅客鉄道,東室蘭,室蘭,線,北海道,室蘭市,-,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,42.34929,141.02621,00001B00000000030BA1AF26BBE7FFC0
北海道旅客鉄道,苫小牧,室蘭・日高,線,北海道,苫小牧市,-,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,42.63929,141.59581,00001B00000000030BB61326E3F4FFC0
北海道旅客鉄道,平和,千歳,線,北海道,札幌市,白石区,○,1,1,1,基,1,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,1,○,43.047,141.438,00001B00000000030BD2BE26D8DC7FC0
北海道旅客鉄道,新札幌,千歳,線,北海道,札幌市,厚別区,○,2,2,2,基,2,基,2,基,-,基,-,基,1,箇所,1,箇所,○,○,○,○,○,2,○,43.03869,141.47251,00001B00000000030BD22826DB497FC0
北海道旅客鉄道,上野幌,千歳,線,北海道,札幌市,厚別区,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,○,○,-,○,43.01624,141.48714,00001B00000000030BD09426DC50FFC0
北海道旅客鉄道,北広島,千歳,線,北海道,北広島市,-,-,2,2,2,基,-,基,4,基,-,基,-,基,1,箇所,1,箇所,○,○,-,○,○,2,○,42.97919,141.56312,00001B00000000030BCDF926E1A87FC0
北海道旅客鉄道,島松,千歳,線,北海道,恵庭市,-,-,3,3,-,基,-,基,-,基,-,基,-,基,1,箇所,-,箇所,○,-,×,○,○,3,-,42.92245,141.57314,00001B00000000030BC9FC26E25CFFC0
北海道旅客鉄道,恵み野,千歳,線,北海道,恵庭市,-,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,42.90261,141.57442,00001B00000000030BC896A6E273FFC0
北海道旅客鉄道,恵庭,千歳,線,北海道,恵庭市,-,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,-,○,○,2,○,42.88311,141.58632,00001B00000000030BC737A6E349FFC0
北海道旅客鉄道,千歳,千歳,線,北海道,千歳市,-,○,2,2,2,基,2,基,6,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,42.82816,141.65198,00001B00000000030BC35AA6E7E7FFC0
北海道旅客鉄道,新千歳空港,千歳,線,北海道,千歳市,-,○,1,1,1,基,1,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,1,○,42.78754,141.68079,00001B00000000030BC07FA6E9EE7FC0
北海道旅客鉄道,八軒,札沼,線,北海道,札幌市,西区,○,2,2,2,基,2,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.08622,141.31917,00001B00000000030BD57FA6D0817FC0
北海道旅客鉄道,新川,札沼,線,北海道,札幌市,北区,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.09857,141.32374,00001B00000000030BD65E26D0D37FC0
北海道旅客鉄道,新琴似,札沼,線,北海道,札幌市,北区,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.11305,141.33514,00001B00000000030BD762A6D1A0FFC0
北海道旅客鉄道,篠路,札沼,線,北海道,札幌市,北区,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,○,○,2,○,43.14508,141.36424,00001B00000000030BD9A326D3AC7FC0
北海道旅客鉄道,拓北,札沼,線,北海道,札幌市,北区,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,○,43.1555,141.38109,00001B00000000030BDA5F26D4DBFFC0
北海道旅客鉄道,あいの里教育大,札沼,線,北海道,札幌市,北区,○,2,2,2,基,2,基,-,基,-,基,-,基,2,箇所,-,箇所,○,○,○,○,○,2,○,43.15512,141.39877,00001B00000000030BDA5826D619FFC0
北海道旅客鉄道,あいの里公園,札沼,線,北海道,札幌市,北区,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,○,-,×,○,-,-,○,43.1609,141.41303,00001B00000000030BDAC026D71AFFC0
北海道旅客鉄道,石狩当別,札沼,線,北海道,石狩郡,当別町,○,2,2,2,基,2,基,-,基,-,基,-,基,-,箇所,-,箇所,○,-,×,○,○,2,○,43.22214,141.51379,00001B00000000030BDF0EA6DE307FC0
北海道旅客鉄道,北海道医療大学,札沼,線,北海道,石狩郡,当別町,-,2,2,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,-,-,×,-,-,-,○,43.23108,141.55012,00001B00000000030BDFAF26E0BE7FC0
北海道旅客鉄道,新函館北斗（在来線）,函館,線,北海道,北斗市,-,○,2,2,2,基,2,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,2,-,41.904698,140.648376,00001B00000000030B826CA6A156FFC0
JR東日本,東京,東海道本・山手・中央本・総武・京葉・横須賀・京浜東北・東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,線,東京都,千代田区,-,○,11,11,30,基,22,基,128,基,2,基,-,基,6,箇所,-,箇所,○,-,○,○,○,-,○,35.68132,139.76689,00001B000000000309CCD7A6635C7FC0
JR東日本,東京（新幹線）,東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,線,東京都,千代田区,-,○,2,2,6,基,4,基,7,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.6811,139.76811,00001B000000000309CCD3A66371FFC0
JR東日本,有楽町,東海道本・山手・京浜東北,線,東京都,千代田区,-,○,2,2,2,基,2,基,4,基,2,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.67504,139.76326,00001B000000000309CC66A6631AFFC0
JR東日本,新橋,東海道本・山手・京浜東北・横須賀,線,東京都,港区,-,○,4,4,5,基,5,基,20,基,6,基,-,基,1,箇所,1,箇所,○,○,○,○,○,-,○,35.66639,139.7582,00001B000000000309CBCB2662BFFFC0
JR東日本,浜松町,東海道本・山手・京浜東北,線,東京都,港区,-,○,2,2,2,基,2,基,7,基,1,基,2,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.65541,139.75713,00001B000000000309CB052662AC7FC0
JR東日本,田町,東海道本・山手・京浜東北,線,東京都,港区,-,○,2,2,2,基,2,基,8,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.64574,139.7476,00001B000000000309CA57266200FFC0
JR東日本,品川,東海道本・山手・京浜東北・横須賀,線,東京都,港区,-,○,8,8,10,基,9,基,23,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.62814,139.73885,00001B000000000309C91AA661637FC0
JR東日本,大井町,東海道本・京浜東北,線,東京都,品川区,-,○,1,1,2,基,1,基,5,基,1,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.60681,139.73499,00001B000000000309C79AA6611DFFC0
JR東日本,大森,東海道本・京浜東北,線,東京都,大田区,-,○,1,1,1,基,1,基,2,基,1,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.58892,139.72815,00001B000000000309C658A660A2FFC0
JR東日本,蒲田,東海道本・京浜東北,線,東京都,大田区,-,○,2,2,2,基,2,基,8,基,2,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.56249,139.71603,00001B000000000309C47CA65FC8FFC0
JR東日本,西大井,横須賀,線,東京都,品川区,-,○,2,2,2,基,2,基,4,基,2,基,-,基,-,箇所,-,箇所,○,○,-,○,○,-,○,35.6017,139.72161,00001B000000000309C73EA6602CFFC0
JR東日本,池袋,山手・埼京,線,東京都,豊島区,-,○,4,4,4,基,4,基,8,基,8,基,1,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.73019,139.71123,00001B000000000309D047265F727FC0
JR東日本,大塚,山手,線,東京都,豊島区,-,○,1,1,1,基,1,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.73179,139.72794,00001B000000000309D06426609EFFC0
JR東日本,巣鴨,山手,線,東京都,豊島区,-,○,1,1,1,基,1,基,2,基,2,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.73372,139.74035,00001B000000000309D086A6617E7FC0
JR東日本,駒込,山手,線,東京都,豊島区,-,○,1,1,1,基,1,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.73686,139.74805,00001B000000000309D0BF266208FFC0
JR東日本,大崎,山手,線,東京都,品川区,-,○,4,4,5,基,4,基,16,基,-,基,-,基,2,箇所,-,箇所,○,○,○,○,○,-,○,35.61995,139.72824,00001B000000000309C8872660A47FC0
JR東日本,目白,山手,線,東京都,豊島区,-,○,1,1,1,基,1,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.72039,139.70628,00001B000000000309CF97265F197FC0
JR東日本,高田馬場,山手,線,東京都,新宿区,-,○,1,1,2,基,1,基,2,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.7129,139.70383,00001B000000000309CF10265EECFFC0
JR東日本,新大久保,山手,線,東京都,新宿区,-,○,1,1,-,基,-,基,-,基,-,基,1,基,-,箇所,-,箇所,○,-,×,○,○,-,○,35.70093,139.70026,00001B000000000309CE38A65EACFFC0
JR東日本,新宿,山手・中央本・中央(各駅停車)・埼京,線,東京都,新宿区,-,○,8,8,13,基,13,基,47,基,26,基,4,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.69047,139.70014,00001B000000000309CD7C265EAAFFC0
JR東日本,原宿,山手,線,東京都,渋谷区,-,○,1,1,1,基,1,基,2,基,1,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.67132,139.70269,00001B000000000309CC23A65ED87FC0
JR東日本,渋谷,山手・埼京,線,東京都,渋谷区,-,○,3,3,5,基,5,基,14,基,1,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.65809,139.70165,00001B000000000309CB35A65EC5FFC0
JR東日本,恵比寿,山手・埼京,線,東京都,渋谷区,-,○,2,2,3,基,3,基,13,基,4,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.64668,139.71013,00001B000000000309CA68265F5E7FC0
JR東日本,目黒,山手,線,東京都,品川区,-,○,1,1,1,基,1,基,4,基,3,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.63292,139.71583,00001B000000000309C970A65FC4FFC0
JR東日本,五反田,山手,線,東京都,品川区,-,○,1,1,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.62631,139.72353,00001B000000000309C8F9A6604FFFC0
JR東日本,板橋,埼京,線,東京都,板橋区,-,-,1,1,-,基,-,基,-,基,-,基,-,基,-,箇所,-,箇所,○,-,×,○,○,-,○,35.74499,139.71917,00001B000000000309D151A660017FC0
JR東日本,十条,埼京,線,東京都,北区,-,○,2,2,1,基,1,基,3,基,2,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.76039,139.72225,00001B000000000309D267266038FFC0
JR東日本,南流山,武蔵野,線,千葉県,流山市,-,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.83785,139.90423,00001B000000000309D7D9266D047FC0
JR東日本,神田,中央本・山手・京浜東北,線,東京都,千代田区,-,○,3,3,6,基,6,基,15,基,-,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.69177,139.77087,00001B000000000309CD93A663A3FFC0
JR東日本,御茶ノ水,中央本・中央,線,東京都,千代田区,-,○,2,2,-,基,-,基,-,基,-,基,2,基,-,箇所,-,箇所,○,○,×,○,○,-,○,35.6996,139.76503,00001B000000000309CE20A6633AFFC0
JR東日本,水道橋,中央,線,東京都,千代田区,-,○,2,2,2,基,2,基,1,基,1,基,2,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.702,139.75375,00001B000000000309CE4C26626FFFC0
JR東日本,飯田橋,中央,線,東京都,千代田区,-,○,1,1,1,基,1,基,2,基,1,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.70165,139.74489,00001B000000000309CE45A661D07FC0
JR東日本,市ケ谷,中央,線,東京都,千代田区,-,○,1,1,1,基,1,基,1,基,1,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.69116,139.73532,00001B000000000309CD88A66123FFC0
JR東日本,四ツ谷,中央本・中央,線,東京都,新宿区,-,○,2,2,2,基,2,基,5,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.68565,139.73053,00001B000000000309CD25A660CDFFC0
JR東日本,信濃町,中央,線,東京都,新宿区,-,○,1,1,1,基,1,基,2,基,2,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.67994,139.7211,00001B000000000309CCBEA66023FFC0
JR東日本,千駄ケ谷,中央,線,東京都,渋谷区,-,○,1,1,1,基,1,基,2,基,2,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.6812,139.71153,00001B000000000309CCD5A65F77FFC0
JR東日本,代々木,山手・中央,線,東京都,渋谷区,-,○,3,3,3,基,3,基,4,基,3,基,-,基,1,箇所,1,箇所,○,○,○,○,○,-,○,35.6838,139.70221,00001B000000000309CD04265ECFFFC0
JR東日本,大久保,中央,線,東京都,新宿区,-,○,1,1,1,基,1,基,1,基,1,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.70063,139.69744,00001B000000000309CE33265E79FFC0
JR東日本,東中野,中央,線,東京都,中野区,-,○,1,1,1,基,1,基,3,基,2,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.70625,139.68508,00001B000000000309CE98A65D9B7FC0
JR東日本,中野,中央本・中央(各駅停車),線,東京都,中野区,-,○,3,3,-,基,-,基,6,基,3,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.70574,139.66561,00001B000000000309CE8F265C3CFFC0
JR東日本,高円寺,中央本・中央(各駅停車),線,東京都,杉並区,-,○,2,2,2,基,2,基,6,基,3,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.70532,139.6497,00001B000000000309CE87A65B1EFFC0
JR東日本,阿佐ケ谷,中央本・中央(各駅停車),線,東京都,杉並区,-,○,2,2,2,基,2,基,6,基,2,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.70488,139.63585,00001B000000000309CE7FA65A257FC0
JR東日本,荻窪,中央本・中央(各駅停車),線,東京都,杉並区,-,○,2,2,6,基,5,基,4,基,2,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.70443,139.62025,00001B000000000309CE77A6590CFFC0
JR東日本,西荻窪,中央本・中央(各駅停車),線,東京都,杉並区,-,○,2,2,2,基,2,基,6,基,3,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.70378,139.59945,00001B000000000309CE6C2657967FC0
JR東日本,秋葉原,山手・京浜東北・総武(各駅停車),線,東京都,千代田区,-,○,4,4,7,基,6,基,31,基,6,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.69832,139.77321,00001B000000000309CE09A663CDFFC0
JR東日本,御徒町,山手・京浜東北,線,東京都,台東区,-,○,2,2,4,基,4,基,4,基,-,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.70719,139.77471,00001B000000000309CEA92663E8FFC0
JR東日本,上野,山手・京浜東北・常磐・東北・高崎・東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,線,東京都,台東区,-,○,11,11,14,基,13,基,34,基,12,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.71322,139.77586,00001B000000000309CF15A663FD7FC0
JR東日本,上野（新幹線）,東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,線,東京都,台東区,-,○,2,2,5,基,5,基,26,基,1,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.71332,139.77739,00001B000000000309CF17A664197FC0
JR東日本,鴬谷,山手・京浜東北,線,東京都,台東区,-,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.72145,139.77803,00001B000000000309CFAA266424FFC0
JR東日本,日暮里,山手・京浜東北・常磐,線,東京都,荒川区,-,○,3,3,3,基,3,基,13,基,-,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.72727,139.77097,00001B000000000309D012A663A57FC0
JR東日本,田端,山手・京浜東北,線,東京都,北区,-,○,2,2,2,基,2,基,4,基,-,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.73748,139.76157,00001B000000000309D0CAA662FC7FC0
JR東日本,上中里,京浜東北,線,東京都,北区,-,○,1,1,1,基,1,基,2,基,1,基,-,基,1,箇所,-,箇所,○,○,○,○,○,-,○,35.74708,139.74592,00001B000000000309D1772661E2FFC0
JR東日本,王子,京浜東北,線,東京都,北区,-,○,1,1,1,基,1,基,2,基,2,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.75232,139.73821,00001B000000000309D1D5A66157FFC0
JR東日本,東十条,京浜東北,線,東京都,北区,-,○,2,2,2,基,2,基,4,基,-,基,-,基,-,箇所,-,箇所,○,-,○,○,○,-,○,35.76383,139.72672,00001B000000000309D2A4A66088FFC0
JR東日本,赤羽,京浜東北・東北・高崎・埼京,線,東京都,北区,-,○,4,4,5,基,5,基,23,基,-,基,-,基,-,箇所,-,箇所,○,○,○,○,○,-,○,35.77763,139.72124,00001B000000000309D39D2660267FC0
